operating_point,pathology,threshold,n_opportunities,n_positive,fired,sensitivity,ppv,alert_rate,smoke_test
grid_0.60,Pleural_Thickening,0.6,22799,1041,5056,0.4063,0.0837,0.2218,False
grid_0.60,Cardiomegaly,0.6,22799,974,2203,0.3152,0.1394,0.0966,False
grid_0.60,Edema,0.6,22799,911,3367,0.3655,0.0989,0.1477,False
grid_0.60,Emphysema,0.6,22799,1058,1947,0.1635,0.0889,0.0854,False
grid_0.60,Fibrosis,0.6,22799,367,780,0.1172,0.0551,0.0342,False
grid_0.60,Pneumonia,0.6,22799,528,301,0.0189,0.0332,0.0132,False
grid_0.65,Infiltration,0.65,22799,5887,7686,0.4624,0.3542,0.3371,False
grid_0.65,Effusion,0.65,22799,4520,8359,0.6062,0.3278,0.3666,False
grid_0.65,Atelectasis,0.65,22799,3122,8540,0.5455,0.1994,0.3746,False
grid_0.65,Nodule,0.65,22799,1465,3152,0.2232,0.1037,0.1383,False
grid_0.65,Mass,0.65,22799,1582,5237,0.3748,0.1132,0.2297,False
grid_0.65,Consolidation,0.65,22799,1768,11183,0.7189,0.1137,0.4905,False
grid_0.65,Pneumothorax,0.65,22799,2633,4710,0.4398,0.2459,0.2066,False
grid_0.65,Pleural_Thickening,0.65,22799,1041,3791,0.3391,0.0931,0.1663,False
grid_0.65,Cardiomegaly,0.65,22799,974,1615,0.271,0.1635,0.0708,False
grid_0.65,Edema,0.65,22799,911,2558,0.2975,0.1059,0.1122,False
grid_0.65,Emphysema,0.65,22799,1058,1407,0.1238,0.0931,0.0617,False
grid_0.65,Fibrosis,0.65,22799,367,495,0.0763,0.0566,0.0217,False
grid_0.65,Pneumonia,0.65,22799,528,188,0.0095,0.0266,0.0082,False
grid_0.70,Infiltration,0.7,22799,5887,5061,0.3224,0.375,0.222,False
grid_0.70,Effusion,0.7,22799,4520,6686,0.5153,0.3483,0.2933,False
grid_0.70,Atelectasis,0.7,22799,3122,6034,0.4257,0.2203,0.2647,False
grid_0.70,Nodule,0.7,22799,1465,1720,0.1345,0.1145,0.0754,False
grid_0.70,Mass,0.7,22799,1582,3480,0.2642,0.1201,0.1526,False
grid_0.70,Consolidation,0.7,22799,1768,9725,0.6471,0.1176,0.4266,False
grid_0.70,Pneumothorax,0.7,22799,2633,3670,0.36,0.2583,0.161,False
grid_0.70,Pleural_Thickening,0.7,22799,1041,2669,0.2584,0.1008,0.1171,False
grid_0.70,Cardiomegaly,0.7,22799,974,1140,0.2361,0.2018,0.05,False
grid_0.70,Edema,0.7,22799,911,1813,0.2294,0.1153,0.0795,False
grid_0.70,Emphysema,0.7,22799,1058,966,0.087,0.0952,0.0424,False
grid_0.70,Fibrosis,0.7,22799,367,279,0.0381,0.0502,0.0122,False
grid_0.70,Pneumonia,0.7,22799,528,113,0.0057,0.0265,0.005,False
